id,age,category,sex,b12,b6,biotin,c,calcium,carbohydrate,carbohydrate_max_percent,carbohydrate_min_percent,chloride,cholesterol,choline,chromium,copper,d,e,fat,fat_max_percent,fat_min_percent,fibre,fluoride,folate,iodine,iron,k,magnesium,manganese,molybdenum,n_3,n_3_max_percent,n_3_min_percent,n_6,n_6_max_percent,n_6_min_percent,niacin,pantothenate,phosphorus,potassium,protein,protein_max_percent,protein_min_percent,retinol,riboflavin,satd,selenium,sodium,thiamin,trans,water,zinc
1,0.0,Infants,both,0.4,0.1,5,40,200,60,,,180.0,,125,0.2,200,10,4,30,,,,0.01,65,110,0.27,2.0,30,0.003,2,0.5,,,4.4,,,2,1.7,100,400,9.1,,,400,0.3,,15,110,0.2,0,0.7,2
2,0.5,Infants,both,0.5,0.3,6,50,260,95,,,570.0,,150,5.5,220,10,5,30,,,,0.5,80,130,11,2.5,75,0.6,3,0.5,,,4.6,,,4,1.8,275,860,11.0,,,500,0.4,,20,370,0.3,0,0.8,3
3,1.0,Children,both,0.9,0.5,8,15,700,130,65.0,45.0,1500.0,,200,11,340,15,6,39,40.0,30.0,19,0.7,150,90,7,30,80,1.2,17,0.7,1.2,0.6,7,10.0,5.0,6,2,460,2000,13,20.0,5.0,300,0.5,,20,800,0.5,0,1.3,3
4,4.0,Children,both,1.2,0.6,12,25,1000,130,65.0,45.0,1900.0,300.0,250,15,440,15,7,78,35.0,25.0,25,1,200,90,10,55,130,1.5,22,0.9,1.2,0.6,10,10.0,5.0,8,3,500,2300,19,30.0,10.0,400,0.6,10.0,30,1000,0.6,0,1.7,5
5,9.0,Males,male,1.8,1.0,20,45,1300,130,65.0,45.0,2300.0,300.0,375,25,700,15,11,78,35.0,25.0,31,2,300,120,8,60,240,1.9,34,1.2,1.2,0.6,12,10.0,5.0,12,4,1250,2500,34,30.0,10.0,600,0.9,20.0,40,1200,0.9,0,2.4,8
6,14.0,Males,male,2.4,1.3,25,75,1300,130,65.0,45.0,2300.0,300.0,550,35,890,15,15,78,35.0,25.0,38,3,400,150,11,75,410,2.2,43,1.6,1.2,0.6,16,10.0,5.0,16,5,1250,3000,52,30.0,10.0,900,1.3,20.0,55,1500,1.2,0,3.3,11
7,18.0,Males,male,2.4,1.3,30,90,1000,130,65.0,45.0,2300.0,300.0,550,35,900,15,15,78,35.0,20.0,38,4,400,150,8,120,400,2.3,45,1.6,1.2,0.6,17,10.0,5.0,16,5,700,3400,56,35.0,10.0,900,1.3,20.0,55,1500,1.2,0,3.7,11
8,30.0,Males,male,2.4,1.3,30,90,1000,130,65.0,45.0,2300.0,300.0,550,35,900,15,15,78,35.0,20.0,38,4,400,150,8,120,420,2.3,45,1.6,1.2,0.6,17,10.0,5.0,16,5,700,3400,56,35.0,10.0,900,1.3,20.0,55,1500,1.2,0,3.7,11
9,50.0,Males,male,2.4,1.7,30,90,1000,130,65.0,45.0,2000.0,300.0,550,30,900,15,15,78,35.0,20.0,30,4,400,150,8,120,420,2.3,45,1.6,1.2,0.6,14,10.0,5.0,16,5,700,3400,56,35.0,10.0,900,1.3,20.0,55,1500,1.2,0,3.7,11
10,70.0,Males,male,2.4,1.7,30,90,1200,130,65.0,45.0,1800.0,300.0,550,30,900,20,15,78,35.0,20.0,30,4,400,150,8,120,420,2.3,45,1.6,1.2,0.6,14,10.0,5.0,16,5,700,3400,56,35.0,10.0,900,1.3,20.0,55,1500,1.2,0,3.7,11
