id,nutrient,unit
1,alpha_carotene,µg
2,b12,µg
3,b6,mg
4,beta_carotene,µg
5,biotin,µg
6,c,mg
7,calcium,mg
8,carbohydrate,g
9,carotene,µg
10,chloride,mg
11,cholesterol,mg
12,copper,mg
13,d,µg
14,e,mg
15,energy,kcal
16,fat,g
17,fibre,g
18,folate,µg
19,iodine,µg
20,iron,mg
21,k,µg
22,lutein,µg
23,lycopene,µg
24,magnesium,mg
25,manganese,mg
26,mono,g
27,n_3,g
28,n_6,g
29,niacin,mg
30,niacin_equivalent,mg
31,pantothenate,mg
32,phosphorus,mg
33,poly,g
34,potassium,mg
35,protein,g
36,retinol,µg
37,retinol_equivalent,µg
38,riboflavin,mg
39,satd,g
40,selenium,µg
41,sodium,mg
42,thiamin,mg
43,trans,g
44,tryptophan_60,mg
45,zinc,mg
