rda_profile_id,histidine,isoleucine,leucine,lysine,methionine_and_cysteine ,phenylalanine_and_tyrosine,threonine,tryptophan,valine
1,36,88,156,107,59,135,73,28,87
2,32,43,93,89,43,84,49,13,58
3,21,28,63,58,28,54,32,8,37
4,16,22,49,46,22,41,24,6,28
5,36,88,156,107,59,135,73,28,87
6,32,43,93,89,43,84,49,13,58
7,21,28,63,58,28,54,32,8,37
8,16,22,49,46,22,41,24,6,28
9,17,22,49,46,22,41,24,6,28
10,15,21,47,43,21,38,22,6,27
11,14,19,42,38,19,33,20,5,24
12,14,19,42,38,19,33,20,5,24
13,14,19,42,38,19,33,20,5,24
14,14,19,42,38,19,33,20,5,24
15,15,21,47,43,21,38,22,6,27
16,14,19,44,40,19,35,21,5,24
17,14,19,42,38,19,33,20,5,24
18,14,19,42,38,19,33,20,5,24
19,14,19,42,38,19,33,20,5,24
20,14,19,42,38,19,33,20,5,24
21,18,25,56,51,25,44,26,7,31
22,18,25,56,51,25,44,26,7,31
23,18,25,56,51,25,44,26,7,31
24,19,30,62,52,26,51,30,9,35
25,19,30,62,52,26,51,30,9,35
26,19,30,62,52,26,51,30,9,35
