id,rda_profile_id,nutrient_name,value,unit
0,1,histidine,36,mg_per_kg
26,1,isoleucine,88,mg_per_kg
182,1,tryptophan,28,mg_per_kg
208,1,valine,87,mg_per_kg
52,1,leucine,156,mg_per_kg
78,1,lysine,107,mg_per_kg
130,1,phenylalanine_and_tyrosine,135,mg_per_kg
156,1,threonine,73,mg_per_kg
104,1,methionine_and_cysteine,59,mg_per_kg
131,2,phenylalanine_and_tyrosine,84,mg_per_kg
183,2,tryptophan,13,mg_per_kg
27,2,isoleucine,43,mg_per_kg
1,2,histidine,32,mg_per_kg
79,2,lysine,89,mg_per_kg
105,2,methionine_and_cysteine,43,mg_per_kg
157,2,threonine,49,mg_per_kg
209,2,valine,58,mg_per_kg
53,2,leucine,93,mg_per_kg
28,3,isoleucine,28,mg_per_kg
2,3,histidine,21,mg_per_kg
210,3,valine,37,mg_per_kg
54,3,leucine,63,mg_per_kg
158,3,threonine,32,mg_per_kg
184,3,tryptophan,8,mg_per_kg
80,3,lysine,58,mg_per_kg
132,3,phenylalanine_and_tyrosine,54,mg_per_kg
106,3,methionine_and_cysteine,28,mg_per_kg
159,4,threonine,24,mg_per_kg
107,4,methionine_and_cysteine,22,mg_per_kg
81,4,lysine,46,mg_per_kg
133,4,phenylalanine_and_tyrosine,41,mg_per_kg
185,4,tryptophan,6,mg_per_kg
55,4,leucine,49,mg_per_kg
3,4,histidine,16,mg_per_kg
211,4,valine,28,mg_per_kg
29,4,isoleucine,22,mg_per_kg
186,5,tryptophan,28,mg_per_kg
108,5,methionine_and_cysteine,59,mg_per_kg
4,5,histidine,36,mg_per_kg
212,5,valine,87,mg_per_kg
160,5,threonine,73,mg_per_kg
134,5,phenylalanine_and_tyrosine,135,mg_per_kg
82,5,lysine,107,mg_per_kg
56,5,leucine,156,mg_per_kg
30,5,isoleucine,88,mg_per_kg
213,6,valine,58,mg_per_kg
83,6,lysine,89,mg_per_kg
161,6,threonine,49,mg_per_kg
57,6,leucine,93,mg_per_kg
187,6,tryptophan,13,mg_per_kg
135,6,phenylalanine_and_tyrosine,84,mg_per_kg
5,6,histidine,32,mg_per_kg
109,6,methionine_and_cysteine,43,mg_per_kg
31,6,isoleucine,43,mg_per_kg
32,7,isoleucine,28,mg_per_kg
214,7,valine,37,mg_per_kg
84,7,lysine,58,mg_per_kg
136,7,phenylalanine_and_tyrosine,54,mg_per_kg
162,7,threonine,32,mg_per_kg
110,7,methionine_and_cysteine,28,mg_per_kg
188,7,tryptophan,8,mg_per_kg
6,7,histidine,21,mg_per_kg
58,7,leucine,63,mg_per_kg
85,8,lysine,46,mg_per_kg
137,8,phenylalanine_and_tyrosine,41,mg_per_kg
7,8,histidine,16,mg_per_kg
33,8,isoleucine,22,mg_per_kg
215,8,valine,28,mg_per_kg
111,8,methionine_and_cysteine,22,mg_per_kg
189,8,tryptophan,6,mg_per_kg
163,8,threonine,24,mg_per_kg
59,8,leucine,49,mg_per_kg
34,9,isoleucine,22,mg_per_kg
112,9,methionine_and_cysteine,22,mg_per_kg
8,9,histidine,17,mg_per_kg
190,9,tryptophan,6,mg_per_kg
138,9,phenylalanine_and_tyrosine,41,mg_per_kg
86,9,lysine,46,mg_per_kg
60,9,leucine,49,mg_per_kg
164,9,threonine,24,mg_per_kg
216,9,valine,28,mg_per_kg
139,10,phenylalanine_and_tyrosine,38,mg_per_kg
165,10,threonine,22,mg_per_kg
61,10,leucine,47,mg_per_kg
113,10,methionine_and_cysteine,21,mg_per_kg
9,10,histidine,15,mg_per_kg
35,10,isoleucine,21,mg_per_kg
87,10,lysine,43,mg_per_kg
191,10,tryptophan,6,mg_per_kg
217,10,valine,27,mg_per_kg
10,11,histidine,14,mg_per_kg
166,11,threonine,20,mg_per_kg
192,11,tryptophan,5,mg_per_kg
62,11,leucine,42,mg_per_kg
88,11,lysine,38,mg_per_kg
36,11,isoleucine,19,mg_per_kg
140,11,phenylalanine_and_tyrosine,33,mg_per_kg
218,11,valine,24,mg_per_kg
114,11,methionine_and_cysteine,19,mg_per_kg
37,12,isoleucine,19,mg_per_kg
193,12,tryptophan,5,mg_per_kg
89,12,lysine,38,mg_per_kg
63,12,leucine,42,mg_per_kg
219,12,valine,24,mg_per_kg
141,12,phenylalanine_and_tyrosine,33,mg_per_kg
167,12,threonine,20,mg_per_kg
11,12,histidine,14,mg_per_kg
115,12,methionine_and_cysteine,19,mg_per_kg
194,13,tryptophan,5,mg_per_kg
168,13,threonine,20,mg_per_kg
142,13,phenylalanine_and_tyrosine,33,mg_per_kg
220,13,valine,24,mg_per_kg
116,13,methionine_and_cysteine,19,mg_per_kg
12,13,histidine,14,mg_per_kg
38,13,isoleucine,19,mg_per_kg
64,13,leucine,42,mg_per_kg
90,13,lysine,38,mg_per_kg
13,14,histidine,14,mg_per_kg
195,14,tryptophan,5,mg_per_kg
91,14,lysine,38,mg_per_kg
39,14,isoleucine,19,mg_per_kg
221,14,valine,24,mg_per_kg
117,14,methionine_and_cysteine,19,mg_per_kg
169,14,threonine,20,mg_per_kg
65,14,leucine,42,mg_per_kg
143,14,phenylalanine_and_tyrosine,33,mg_per_kg
144,15,phenylalanine_and_tyrosine,38,mg_per_kg
170,15,threonine,22,mg_per_kg
92,15,lysine,43,mg_per_kg
222,15,valine,27,mg_per_kg
66,15,leucine,47,mg_per_kg
40,15,isoleucine,21,mg_per_kg
196,15,tryptophan,6,mg_per_kg
14,15,histidine,15,mg_per_kg
118,15,methionine_and_cysteine,21,mg_per_kg
67,16,leucine,44,mg_per_kg
15,16,histidine,14,mg_per_kg
93,16,lysine,40,mg_per_kg
197,16,tryptophan,5,mg_per_kg
223,16,valine,24,mg_per_kg
171,16,threonine,21,mg_per_kg
41,16,isoleucine,19,mg_per_kg
119,16,methionine_and_cysteine,19,mg_per_kg
145,16,phenylalanine_and_tyrosine,35,mg_per_kg
42,17,isoleucine,19,mg_per_kg
16,17,histidine,14,mg_per_kg
224,17,valine,24,mg_per_kg
120,17,methionine_and_cysteine,19,mg_per_kg
172,17,threonine,20,mg_per_kg
198,17,tryptophan,5,mg_per_kg
94,17,lysine,38,mg_per_kg
68,17,leucine,42,mg_per_kg
146,17,phenylalanine_and_tyrosine,33,mg_per_kg
199,18,tryptophan,5,mg_per_kg
43,18,isoleucine,19,mg_per_kg
69,18,leucine,42,mg_per_kg
173,18,threonine,20,mg_per_kg
17,18,histidine,14,mg_per_kg
147,18,phenylalanine_and_tyrosine,33,mg_per_kg
95,18,lysine,38,mg_per_kg
225,18,valine,24,mg_per_kg
121,18,methionine_and_cysteine,19,mg_per_kg
226,19,valine,24,mg_per_kg
200,19,tryptophan,5,mg_per_kg
18,19,histidine,14,mg_per_kg
122,19,methionine_and_cysteine,19,mg_per_kg
148,19,phenylalanine_and_tyrosine,33,mg_per_kg
44,19,isoleucine,19,mg_per_kg
96,19,lysine,38,mg_per_kg
70,19,leucine,42,mg_per_kg
174,19,threonine,20,mg_per_kg
201,20,tryptophan,5,mg_per_kg
123,20,methionine_and_cysteine,19,mg_per_kg
97,20,lysine,38,mg_per_kg
19,20,histidine,14,mg_per_kg
45,20,isoleucine,19,mg_per_kg
227,20,valine,24,mg_per_kg
71,20,leucine,42,mg_per_kg
149,20,phenylalanine_and_tyrosine,33,mg_per_kg
175,20,threonine,20,mg_per_kg
176,21,threonine,26,mg_per_kg
72,21,leucine,56,mg_per_kg
20,21,histidine,18,mg_per_kg
228,21,valine,31,mg_per_kg
202,21,tryptophan,7,mg_per_kg
46,21,isoleucine,25,mg_per_kg
150,21,phenylalanine_and_tyrosine,44,mg_per_kg
98,21,lysine,51,mg_per_kg
124,21,methionine_and_cysteine,25,mg_per_kg
21,22,histidine,18,mg_per_kg
203,22,tryptophan,7,mg_per_kg
151,22,phenylalanine_and_tyrosine,44,mg_per_kg
125,22,methionine_and_cysteine,25,mg_per_kg
73,22,leucine,56,mg_per_kg
177,22,threonine,26,mg_per_kg
229,22,valine,31,mg_per_kg
99,22,lysine,51,mg_per_kg
47,22,isoleucine,25,mg_per_kg
178,23,threonine,26,mg_per_kg
22,23,histidine,18,mg_per_kg
100,23,lysine,51,mg_per_kg
230,23,valine,31,mg_per_kg
204,23,tryptophan,7,mg_per_kg
152,23,phenylalanine_and_tyrosine,44,mg_per_kg
74,23,leucine,56,mg_per_kg
126,23,methionine_and_cysteine,25,mg_per_kg
48,23,isoleucine,25,mg_per_kg
49,24,isoleucine,30,mg_per_kg
153,24,phenylalanine_and_tyrosine,51,mg_per_kg
205,24,tryptophan,9,mg_per_kg
231,24,valine,35,mg_per_kg
101,24,lysine,52,mg_per_kg
23,24,histidine,19,mg_per_kg
179,24,threonine,30,mg_per_kg
75,24,leucine,62,mg_per_kg
127,24,methionine_and_cysteine,26,mg_per_kg
102,25,lysine,52,mg_per_kg
206,25,tryptophan,9,mg_per_kg
232,25,valine,35,mg_per_kg
128,25,methionine_and_cysteine,26,mg_per_kg
180,25,threonine,30,mg_per_kg
50,25,isoleucine,30,mg_per_kg
24,25,histidine,19,mg_per_kg
154,25,phenylalanine_and_tyrosine,51,mg_per_kg
76,25,leucine,62,mg_per_kg
207,26,tryptophan,9,mg_per_kg
129,26,methionine_and_cysteine,26,mg_per_kg
77,26,leucine,62,mg_per_kg
155,26,phenylalanine_and_tyrosine,51,mg_per_kg
103,26,lysine,52,mg_per_kg
181,26,threonine,30,mg_per_kg
25,26,histidine,19,mg_per_kg
51,26,isoleucine,30,mg_per_kg
233,26,valine,35,mg_per_kg
