id,rda_profile_id,nutrient_name,value,unit
0,1,b12,0.4,μg
962,1,total_protein,9.1,g
286,1,chromium,0.2,μg
988,1,protein_max_percent,,percent
260,1,choline,125.0,mg
1014,1,protein_min_percent,,percent
234,1,cholesterol,,mg
1040,1,vit_a,400.0,μg
208,1,chlorine,180.0,g
1066,1,riboflavin,0.3,mg
182,1,carbohydrate_min_percent,,percent
1092,1,total_saturated_fat,,g
156,1,carbohydrate_max_percent,,percent
1118,1,selenium,15.0,μg
130,1,carbohydrate_total,60.0,g
1144,1,sodium,110.0,mg
104,1,calcium,200.0,mg
1170,1,thiamin,0.2,mg
78,1,vit_c,40.0,mg
1196,1,trans_fat,0.0,g
312,1,copper,200.0,μg
936,1,potassium,400.0,mg
910,1,phosphorus,100.0,mg
338,1,vit_d,10.0,μg
598,1,vit_k,2.0,μg
650,1,manganese,0.003,mg
572,1,iron,0.27,mg
676,1,molybdenum,2.0,μg
546,1,iodine,110.0,μg
702,1,omega_3,0.5,g
520,1,folate,65.0,μg
728,1,omega_3_max_percent,,percent
494,1,fluoride,0.01,mg
52,1,biotin,5.0,μg
754,1,omega_3_min_percent,,percent
780,1,omega_6,4.4,g
442,1,fat_min_percent,,percent
806,1,omega_6_max_percent,,percent
416,1,fat_max_percent,,percent
832,1,omega_6_min_percent,,percent
390,1,total_fat,30.0,g
858,1,niacin,2.0,mg
364,1,vit_e,4.0,mg
884,1,pantothenic_acid,1.7,mg
468,1,total_dietary_fibre,,g
1222,1,water,0.7,L
624,1,magnesium,30.0,mg
1248,1,zinc,2.0,mg
26,1,b6,0.1,mg
287,2,chromium,5.5,μg
755,2,omega_3_min_percent,,percent
1067,2,riboflavin,0.4,mg
651,2,manganese,0.6,mg
547,2,iodine,130.0,μg
183,2,carbohydrate_min_percent,,percent
417,2,fat_max_percent,,percent
339,2,vit_d,10.0,μg
833,2,omega_6_min_percent,,percent
963,2,total_protein,11.0,g
1171,2,thiamin,0.3,mg
729,2,omega_3_max_percent,,percent
573,2,iron,11.0,mg
1093,2,total_saturated_fat,,g
625,2,magnesium,75.0,mg
105,2,calcium,260.0,mg
521,2,folate,80.0,μg
157,2,carbohydrate_max_percent,,percent
937,2,potassium,860.0,mg
313,2,copper,220.0,μg
677,2,molybdenum,3.0,μg
1119,2,selenium,20.0,μg
703,2,omega_3,0.5,g
131,2,carbohydrate_total,95.0,g
1249,2,zinc,3.0,mg
1145,2,sodium,370.0,mg
859,2,niacin,4.0,mg
391,2,total_fat,30.0,g
911,2,phosphorus,275.0,mg
79,2,vit_c,50.0,mg
495,2,fluoride,0.5,mg
807,2,omega_6_max_percent,,percent
261,2,choline,150.0,mg
1,2,b12,0.5,μg
599,2,vit_k,2.5,μg
1041,2,vit_a,500.0,μg
53,2,biotin,6.0,μg
365,2,vit_e,5.0,mg
989,2,protein_max_percent,,percent
469,2,total_dietary_fibre,,g
235,2,cholesterol,,mg
