id,id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight
25127,267796,2340760,1.0,,9999,1 cup,10205,246.0
25128,267797,2340760,2.0,,9999,Quantity not specified,90000,0.0
25129,267798,2340760,3.0,,9999,1 fl oz,30000,30.8
25130,267799,2340761,1.0,,9999,1 cup,10205,244.0
25131,267800,2340761,2.0,,9999,1 fl oz,30000,30.5
25132,267801,2340761,3.0,,9999,1 individual school container,64294,244.0
25133,267802,2340761,4.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25134,267803,2340761,5.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25135,267804,2340761,6.0,,9999,Quantity not specified,90000,244.0
25136,267805,2340762,1.0,,9999,1 cup,10205,244.0
25137,267806,2340762,2.0,,9999,1 fl oz,30000,30.5
25138,267807,2340762,3.0,,9999,1 individual school container,64294,244.0
25139,267808,2340762,4.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25140,267809,2340762,5.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25141,267810,2340762,6.0,,9999,Quantity not specified,90000,244.0
25142,267811,2340763,1.0,,9999,1 cup,10205,244.0
25143,267812,2340763,2.0,,9999,1 fl oz,30000,30.5
25144,267813,2340763,3.0,,9999,1 individual school container,64294,244.0
25145,267814,2340763,4.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25146,267815,2340763,5.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25147,267816,2340763,6.0,,9999,Quantity not specified,90000,244.0
25148,267817,2340764,1.0,,9999,1 cup,10205,244.0
25149,267818,2340764,2.0,,9999,1 fl oz,30000,30.5
25150,267819,2340764,3.0,,9999,1 individual school container,64294,244.0
25151,267820,2340764,4.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25152,267821,2340764,5.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25153,267822,2340764,6.0,,9999,Quantity not specified,90000,244.0
25154,267823,2340765,1.0,,9999,1 cup,10205,244.0
25155,267824,2340765,2.0,,9999,1 fl oz,30000,30.5
25156,267825,2340765,3.0,,9999,1 individual school container,64294,244.0
25157,267826,2340765,4.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25158,267827,2340765,5.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25159,267828,2340765,6.0,,9999,Quantity not specified,90000,244.0
25160,267829,2340766,1.0,,9999,1 cup,10205,244.0
25161,267830,2340766,2.0,,9999,1 fl oz,30000,30.5
25162,267831,2340766,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25163,267832,2340766,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25164,267833,2340766,5.0,,9999,Quantity not specified,90000,244.0
25165,267834,2340767,1.0,,9999,1 cup,10205,244.0
25166,267835,2340767,2.0,,9999,1 fl oz,30000,30.5
25167,267836,2340767,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25168,267837,2340767,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25169,267838,2340767,5.0,,9999,Quantity not specified,90000,244.0
25170,267839,2340768,1.0,,9999,1 cup,10205,244.0
25171,267840,2340768,2.0,,9999,1 fl oz,30000,30.5
25172,267841,2340768,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25173,267842,2340768,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25174,267843,2340768,5.0,,9999,Quantity not specified,90000,244.0
25175,267844,2340769,1.0,,9999,1 cup,10205,244.0
25176,267845,2340769,2.0,,9999,1 fl oz,30000,30.5
25177,267846,2340769,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25178,267847,2340769,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25179,267848,2340769,5.0,,9999,Quantity not specified,90000,244.0
25180,267849,2340770,1.0,,9999,1 cup,10205,244.0
25181,267850,2340770,2.0,,9999,1 fl oz,30000,30.5
25182,267851,2340770,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.6
25183,267852,2340770,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25184,267853,2340770,5.0,,9999,Quantity not specified,90000,244.0
25185,267854,2340771,1.0,,9999,1 cup,10205,244.0
25186,267855,2340771,2.0,,9999,1 fl oz,30000,30.5
25187,267856,2340771,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.6
25188,267857,2340771,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25189,267858,2340771,5.0,,9999,Quantity not specified,90000,244.0
25190,267859,2340772,1.0,,9999,1 cup,10205,244.0
25191,267860,2340772,2.0,,9999,1 fl oz,30000,30.5
25192,267861,2340772,3.0,,9999,Quantity not specified,90000,244.0
25193,267862,2340773,1.0,,9999,1 cup,10205,244.0
25194,267863,2340773,2.0,,9999,1 fl oz,30000,30.5
25195,267864,2340773,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25196,267865,2340773,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25197,267866,2340773,5.0,,9999,Quantity not specified,90000,244.0
25198,267867,2340774,1.0,,9999,1 cup,10205,244.0
25199,267868,2340774,2.0,,9999,1 fl oz,30000,30.5
25200,267869,2340774,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25201,267870,2340774,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25202,267871,2340774,5.0,,9999,Quantity not specified,90000,244.0
25203,267872,2340775,1.0,,9999,1 cup,10205,244.0
25204,267873,2340775,2.0,,9999,1 fl oz,30000,30.5
25205,267874,2340775,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25206,267875,2340775,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25207,267876,2340775,5.0,,9999,Quantity not specified,90000,244.0
25208,267877,2340776,1.0,,9999,1 cup,10205,244.0
25209,267878,2340776,2.0,,9999,1 fl oz,30000,30.5
25210,267879,2340776,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25211,267880,2340776,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25212,267881,2340776,5.0,,9999,Quantity not specified,90000,244.0
25213,267882,2340777,1.0,,9999,1 cup,10205,244.0
25214,267883,2340777,2.0,,9999,1 fl oz,30000,30.5
25215,267884,2340777,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25216,267885,2340777,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25217,267886,2340777,5.0,,9999,Quantity not specified,90000,244.0
25218,267887,2340778,1.0,,9999,1 cup,10205,252.0
25219,267888,2340778,2.0,,9999,1 fl oz,30000,31.5
25220,267889,2340778,3.0,,9999,Quantity not specified,90000,16.0
25221,267890,2340778,4.0,,9999,Guideline amount per fl oz of beverage,63480,2.6
25222,267891,2340778,5.0,,9999,"Quantity not specified, as a drink or on cereal",90002,126.0
25223,267892,2340778,6.0,,9999,"Quantity not specified, if in beverage",90005,16.0
25224,267893,2340779,1.0,,9999,1 cup,10205,252.0
25225,267894,2340779,2.0,,9999,1 fl oz,30000,31.5
25226,267895,2340779,3.0,,9999,Quantity not specified,90000,16.0
25227,267896,2340779,4.0,,9999,Guideline amount per fl oz of beverage,63480,2.6
25228,267897,2340779,5.0,,9999,"Quantity not specified, as a drink or on cereal",90002,126.0
25229,267898,2340779,6.0,,9999,"Quantity not specified, if in beverage",90005,16.0
25230,267899,2340780,1.0,,9999,1 cup,10205,252.0
25231,267900,2340780,2.0,,9999,1 fl oz,30000,31.5
25232,267901,2340780,6.0,,9999,"Quantity not specified, if in beverage",90005,16.0
25233,267902,2340780,7.0,,9999,"Quantity not specified, as a drink or on cereal",90002,126.0
25234,267903,2340780,8.0,,9999,Quantity not specified,90000,16.0
25235,267904,2340781,1.0,,9999,1 cup,10205,252.0
25236,267905,2340781,2.0,,9999,1 fl oz,30000,31.5
25237,267906,2340781,3.0,,9999,Quantity not specified,90000,16.0
25238,267907,2340781,4.0,,9999,Guideline amount per fl oz of beverage,63480,2.6
25239,267908,2340781,5.0,,9999,"Quantity not specified, as a drink or on cereal",90002,126.0
25240,267909,2340781,6.0,,9999,"Quantity not specified, if in beverage",90005,16.0
25241,267910,2340782,1.0,,9999,1 cup,10205,304.0
25242,267911,2340782,2.0,,9999,1 fl oz,30000,38.0
25243,267912,2340782,3.0,,9999,Quantity not specified,90000,19.0
25244,267913,2340783,1.0,,9999,1 cup,10205,244.0
25245,267914,2340783,2.0,,9999,1 fl oz,30000,30.5
25246,267915,2340783,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25247,267916,2340783,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25248,267917,2340783,5.0,,9999,Quantity not specified,90000,244.0
